Id,Index,Class,Type,Filename,Width,Height,MaxStack,Name,Description
0,0,Avatar,base,base_arm.png,22,61,,,
1,1,Avatar,base,base_body.png,72,86,,,
5001,5001,Avatar,base,base_body.png,72,86,,,
2,2,Avatar,base,base_body2.png,72,80,,,
3,3,Avatar,base,base_face.png,124,112,,,
5003,5003,Avatar,base,base_face.png,124,112,,,
4,4,Avatar,base,base_leg.png,12,54,,,
5,5,Avatar,base,base_pants.png,72,26,,,
10000,10000,Avatar,hair,hair_00002_f01.png,144,100,,,
10001,10001,Avatar,hair,hair_00005_f01.png,117,92,,,
10002,10002,Avatar,hair,hair_00006_f01.png,58,73,,,
10003,10003,Avatar,hair,hair_00008_f01.png,113,99,,,
10004,10004,Avatar,hair,hair_00009_f01.png,111,69,,,
10005,10005,Avatar,hair,hair_00010_f01.png,130,83,,,
10006,10006,Avatar,hair,hair_00011_f01.png,156,110,,,
10007,10007,Avatar,hair,hair_00012_f01.png,114,79,,,
10008,10008,Avatar,hair,hair_00013_f01.png,134,103,,,
10009,10009,Avatar,hair,hair_00037_f01.png,160,119,,,
10010,10010,Avatar,hair,hair_00038_f01.png,124,78,,,
10011,10011,Avatar,hair,hair_00039_f01.png,122,87,,,
10012,10012,Avatar,hair,hair_00040_f01.png,183,138,,,
10013,10013,Avatar,hair,hair_00045_f01.png,137,111,,,
10014,10014,Avatar,hair,hair_00047_f01.png,145,110,,,
10015,10015,Avatar,hair,hair_00050_f01.png,113,70,,,
10016,10016,Avatar,hair,hair_00051_f01.png,113,91,,,
10017,10017,Avatar,hair,hair_00052_f01.png,125,89,,,
10018,10018,Avatar,hair,hair_00059_f01.png,167,120,,,
10019,10019,Avatar,hair,hair_00061_f01.png,122,87,,,
10020,10020,Avatar,hair,hair_00063_f01.png,183,162,,,
10021,10021,Avatar,hair,hair_00068_f01.png,122,76,,,
10022,10022,Avatar,hair,hair_00070_f01.png,124,112,,,
10023,10023,Avatar,hair,hair_00072_f01.png,143,88,,,
10024,10024,Avatar,hair,hair_00073_f01.png,59,79,,,
10025,10025,Avatar,hair,hair_00075_f01.png,146,92,,,
10026,10026,Avatar,hair,hair_00077_f01.png,132,120,,,
10027,10027,Avatar,hair,hair_00079_f01.png,171,132,,,
10028,10028,Avatar,hair,hair_00080_f01.png,69,37,,,
10029,10029,Avatar,hair,hair_00081_f01.png,115,94,,,
10030,10030,Avatar,hair,hair_00082_f01.png,142,69,,,
10031,10031,Avatar,hair,hair_00084_f01.png,116,59,,,
10032,10032,Avatar,hair,hair_00086_f01.png,137,111,,,
10033,10033,Avatar,hair,hair_00088_f01.png,100,56,,,
10034,10034,Avatar,hair,hair_00090_f01.png,140,113,,,
10035,10035,Avatar,hair,hair_00092_f01.png,122,96,,,
10036,10036,Avatar,hair,hair_00094_f01.png,161,119,,,
10037,10037,Avatar,hair,hair_00099_f01.png,165,116,,,
10038,10038,Avatar,hair,hair_00100_f01.png,113,91,,,
10039,10039,Avatar,hair,hair_00105_f01.png,145,101,,,
10040,10040,Avatar,hair,hair_00106_f01.png,160,114,,,
10041,10041,Avatar,hair,hair_00107_f01.png,128,79,,,
10042,10042,Avatar,hair,hair_00111_f01.png,151,98,,,
10043,10043,Avatar,hair,hair_00113_f01.png,205,116,,,
10044,10044,Avatar,hair,hair_00114_f01.png,113,89,,,
10045,10045,Avatar,hair,hair_00116_f01.png,166,83,,,
10046,10046,Avatar,hair,hair_00117_f01.png,145,92,,,
10047,10047,Avatar,hair,hair_00118_f01.png,176,127,,,
10048,10048,Avatar,hair,hair_00119_f01.png,122,87,,,
10049,10049,Avatar,hair,hair_00121_f01.png,140,70,,,
10050,10050,Avatar,hair,hair_00122_f01.png,137,115,,,
10051,10051,Avatar,hair,hair_00127_f01.png,137,82,,,
10052,10052,Avatar,hair,hair_00129_f01.png,109,64,,,
10053,10053,Avatar,hair,hair_00130_f01.png,108,77,,,
10054,10054,Avatar,hair,hair_00131_f01.png,169,132,,,
10055,10055,Avatar,hair,hair_00133_f01.png,158,124,,,
10056,10056,Avatar,hair,hair_00135_f01.png,129,94,,,
10057,10057,Avatar,hair,hair_00136_f01.png,133,87,,,
10058,10058,Avatar,hair,hair_00137_f01.png,130,92,,,
10059,10059,Avatar,hair,hair_00142_f01.png,121,86,,,
10060,10060,Avatar,hair,hair_00143_f01.png,132,112,,,
10061,10061,Avatar,hair,hair_00148_f01.png,137,170,,,
10062,10062,Avatar,hair,hair_00149_f01.png,160,98,,,
10063,10063,Avatar,hair,hair_00150_f01.png,108,65,,,
10064,10064,Avatar,hair,hair_00152_f01.png,162,105,,,
10065,10065,Avatar,hair,hair_00153_f01.png,115,94,,,
10066,10066,Avatar,hair,hair_00157_f01.png,157,124,,,
10067,10067,Avatar,hair,hair_00158_f01.png,147,126,,,
10068,10068,Avatar,hair,hair_00162_f01.png,132,123,,,
10069,10069,Avatar,hair,hair_00163_f01.png,121,104,,,
10070,10070,Avatar,hair,hair_00164_f01.png,120,88,,,
10071,10071,Avatar,hair,hair_00166_f01.png,124,82,,,
10072,10072,Avatar,hair,hair_00167_f01.png,148,85,,,
10073,10073,Avatar,hair,hair_00168_f01.png,173,121,,,
10074,10074,Avatar,hair,hair_00170_f01.png,124,89,,,
10075,10075,Avatar,hair,hair_00171_f01.png,162,125,,,
10076,10076,Avatar,hair,hair_00172_f01.png,144,100,,,
10077,10077,Avatar,hair,hair_00173_f01.png,117,104,,,
10078,10078,Avatar,hair,hair_00174_f01.png,152,123,,,
10079,10079,Avatar,hair,hair_00175_f01.png,124,95,,,
10080,10080,Avatar,hair,hair_00176_f01.png,136,122,,,
10081,10081,Avatar,hair,hair_00177_f01.png,129,118,,,
10082,10082,Avatar,hair,hair_00182_f01.png,139,125,,,
10083,10083,Avatar,hair,hair_00183_f01.png,126,85,,,
10084,10084,Avatar,hair,hair_00185_f01.png,125,85,,,
10085,10085,Avatar,hair,hair_00187_f01.png,156,110,,,
10086,10086,Avatar,hair,hair_00189_f01.png,154,122,,,
10087,10087,Avatar,hair,hair_00190_f01.png,115,79,,,
10088,10088,Avatar,hair,hair_00191_f01.png,137,89,,,
10089,10089,Avatar,hair,hair_00193_f01.png,115,75,,,
10090,10090,Avatar,hair,hair_00194_f01.png,124,94,,,
10091,10091,Avatar,hair,hair_00196_f01.png,153,114,,,
10092,10092,Avatar,hair,hair_00198_f01.png,126,82,,,
10093,10093,Avatar,hair,hair_00200_f01.png,113,70,,,
10094,10094,Avatar,hair,hair_00201_f01.png,122,87,,,
10095,10095,Avatar,hair,hair_00203_f01.png,117,77,,,
