id,*상점,*매직박스1,*기본,type,name,description,cat,sub_cat,bundle_size,useAction,infoAction,file_name,width,height,sellPrice,R,G,B,grade,*이미지,*색상,열1,*획득 방법,attributes
1,,,,item,XPLA,Xpla coin,Coin,xpla,0,,,xpla.png,744,802,,,,,basic,,,,,
1002,,,,item,Stardust,Stardust,Coin,stardust,0,,,stardust.png,1,1,,,,,basic,,,,,
1003,,,,item,Copper,Copper,money,copper,0,,,copper_icon.svg,1,1,,,,,basic,,,,,
2000,,,,item,wood,Wood,material,wood,1000,,,wood.png,65,36,1,,,,basic,,,,,
2001,,,,item,Clever Octopus,Always planning something with its many arms,material,fishing,1,,,fish_Octopus.png,133,130,3,,,,common,,,,,
2002,,,,item,Fancy Fish,Covered in bright colors and confidence,material,fishing,1,,,fish_butterflyfish.png,138,114,3,,,,common,,,,,
2003,,,,item,Cute Fish,Small sparkly and full of charm,material,fishing,1,,,obj_item_iec_5x4_fishing_05 1.png,91,44,3,,,,common,,,,,
2004,,,,item,Scary Fish,Sharp eyes and a creepy stare this fish gives you chills,material,fishing,1,,,fish_eel.png,118,100,3,,,,common,,,,,
2005,,,,item,Swift Fish,Quick and sharp it darts through water with ease,material,fishing,1,,,fish_Black sea bream.png,206,142,1,,,,basic,,,,,
2006,,,,item,Wide Flatfish,Wide-bodied fish that calmly rests on the ocean floor,material,fishing,1,,,fish_Olive flounder.png,140,92,1,,,,basic,,,,,
2007,,,,item,Chubby Fish,Plump and round this fish just wants snacks and naps,material,fishing,1,,,fish 6.png,122,59,1,,,,basic,,,,,
2008,,,,item,Dashing Fish,This fish swims with flair,material,fishing,1,,,fish_angelfish.png,61,59,1,,,,basic,,,,,
2009,,,,item,Rusty Can,Worn-out can from the deep sea... might be someone’s old dinner,material,trash,1000,,,obj_item_iec_5x4_fishing_04.png,45,70,0,,,,basic,,,,,
2010,,,,item,Empty Bottle,Just an old bottle. No message inside... or is there?,material,trash,1000,,,ui_fish_icon_10.png,46,77,0,,,,basic,,,,,
2011,,,,item,Worn-Out Boot,Someone’s lost boot,material,trash,1000,,,ui_fish_icon_07.png,84,63,0,,,,basic,,,,,
3001,,,,item (bound),Mystery Gift,Mystery Gift for Open Event,material,box,100,MysteryGift,MysteryGift,{정해야댐},,,,,,,basic,,,,,
3002,,,,item (bound),NFT Crafting Ticket,NFT Crafting Ticket,material,ticket,100,,,{정해야댐},,,,,,,basic,,,,,
3003,,,,item (bound),Trading Ticket,Trading Ticket,material,ticket,100,,,{정해야댐},,,,,,,basic,,,,,
3004,,,,item (bound),Raffle Ticket,Your grind your identity; key to the upcoming airdrop,material,ticket,1000000,,,raffleticket.png,65,49,,,,,basic,,,,,
4000,,,,item (bound),Meme Coin Seed,Plant it to grow your own Meme Coin!,material,seed,1,,,memecoinseed.png,42,52,,,,,basic,,,,,
5000,,,,item,no name,no description,Avatar,base,1,,,base_arm.png,22,61,,,,,basic,,,,,
5001,,,,item,no name,no description,Avatar,base,1,,,base_body.png,72,86,,,,,basic,,,,,
5002,,,,item,no name,no description,Avatar,base,1,,,base_body2.png,72,80,,,,,basic,,,,,
5003,,,,item,no name,no description,Avatar,base,1,,,base_face.png,124,112,,,,,basic,,,,,
5004,,,,item,no name,no description,Avatar,base,1,,,base_leg.png,12,54,,,,,basic,,,,,
5005,,,,item,no name,no description,Avatar,base,1,,,base_pants.png,72,26,,,,,basic,,,,,
10000,,,,item,Classic Head,Clean bald head.,Avatar,hair,1,,,hair_00001_f02.png,113,70,,144,148,156,basic,그림,회색,,,"""{""""x"""":0,""""y"""":0.5,""""z"""":-0.0015,""""r"""":""""0.8"""",""""g"""":""""0.7804"""",""""b"""":""""0.7294"""",""""a"""":1,""""f"""":0,""""angle"""":0}"""
10001,,,,item,Spiky Hair,Classic sharp hair with spiky tips.,Avatar,hair,1,,,hair_00005_f01.png,117,92,,66,63,50,basic,그림,검정,,,"""{""""x"""":-0.02,""""y"""":0.55,""""z"""":-0.0015,""""r"""":""""0.2549"""",""""g"""":""""0.2471"""",""""b"""":""""0.2"""",""""a"""":1,""""f"""":0,""""angle"""":0}"""
10002,,,,item,Mohawk Hair,The classic rebellious look raised in the middle.,Avatar,hair,1,,,hair_00008_f01.png,113,99,,56,56,56,,그림,검정,,매직박스1에서 랜덤 획득,"""{""""x"""":0,""""y"""":0.6,""""z"""":-0.0015,""""r"""":""""0.2196"""",""""g"""":""""0.2196"""",""""b"""":""""0.2196"""",""""a"""":1,""""f"""":0,""""angle"""":0}"""
10003,,,,item,Rough Hair,Classic Wild short bangs.,Avatar,hair,1,,,hair_00010_f01.png,130,83,,85,85,85,basic,그림,검정,,,"""{""""x"""":0,""""y"""":0.55,""""z"""":-0.0015,""""r"""":""""0.2706"""",""""g"""":""""0.2431"""",""""b"""":""""0.2353"""",""""a"""":1,""""f"""":0,""""angle"""":0}"""
10004,,,,item,Curly Hair,Bouncy and fully permed.,Avatar,hair,1,,,hair_00040_f01.png,183,138,,56,56,56,,그림,회색,,매직박스1에서 랜덤 획득,"""{""""x"""":0.01,""""y"""":0.59,""""z"""":0.0085,""""r"""":0.2549019607843137,""""g"""":0.24705882352941178,""""b"""":0.2,""""a"""":1,""""f"""":0,""""angle"""":0}"""
10005,,,,item,Brown Wavy Hair,Soft waves that flow gracefully.,Avatar,hair,1,,,hair_00059_f01.png,167,120,,180,149,103,,그림,연갈색,,생성 시 기본 선택,"""{""""x"""":0.005,""""y"""":0.54,""""z"""":0.0085,""""r"""":0.2549019607843137,""""g"""":0.24705882352941178,""""b"""":0.2,""""a"""":1,""""f"""":0,""""angle"""":0}"""
10006,,,,item,Side Sweep Hair,Classic stylish hair swept to one side.,Avatar,hair,1,,,hair_00070_f01.png,124,112,,179,69,18,basic,그림,와인색,,,"""{""""x"""":0,""""y"""":0.59,""""z"""":-0.0015,""""r"""":""""0.5529"""",""""g"""":""""0"""",""""b"""":""""0.0863"""",""""a"""":1,""""f"""":0,""""angle"""":0}"""
10007,,,,item,Round Bob Hair,Classic Soft rounded bob cut,Avatar,hair,1,,,hair_00077_f01.png,132,120,,66,63,50,basic,그림,회색,,,"""{""""x"""":0,""""y"""":0.48,""""z"""":-0.0015,""""r"""":""""0.2549"""",""""g"""":""""0.2471"""",""""b"""":""""0.2"""",""""a"""":1,""""f"""":0,""""angle"""":0}"""
